"SampleNumber","DateReceived","BoxTempNoReceipt","Country","DurabilityDate","TempAtCollection","ConditionOfSample","ProductWeightInPounds","CostOfChicken","TypeOfChicken","PackagingAtmosphere","PackagingDetails","NeckSkinWeightInSample","Test","Result","Units","Species","MethodEvalPhase"
"LO1607835-01","2016-04-12","7","England","2016-04-18","2.9","Satisfactory","1564","3.11","Standard","Modified Atmosphere","Other","19","Campylobacter spp - enumeration cfu/g","90","CFU/g Neck","C. jejuni","1"
"LO1607835-01","2016-04-12","7","England","2016-04-18","2.9","Satisfactory","1564","3.11","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","30","CFU/ml Rinse","C. jejuni","1"
"LO1607835-01","2016-04-12","7","England","2016-04-18","2.9","Satisfactory","1564","3.11","Standard","Modified Atmosphere","Other","19","Campylobacter spp - enumeration per Swab","<10","CFU/g Back","","1"
"LO1607835-02","2016-04-12","7","England","2016-04-20","3.3","Satisfactory","1464","2.79","Standard","NOT Modified Atmosphere","Other","17","Campylobacter spp - enumeration per Swab","1220","CFU/g Back","C. jejuni","1"
"LO1607835-02","2016-04-12","7","England","2016-04-20","3.3","Satisfactory","1464","2.79","Standard","NOT Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","580","CFU/ml Rinse","C. jejuni","1"
"LO1607835-02","2016-04-12","7","England","2016-04-20","3.3","Satisfactory","1464","2.79","Standard","NOT Modified Atmosphere","Other","17","Campylobacter spp - enumeration cfu/g","950","CFU/g Neck","C. jejuni","1"
"LO1607835-03","2016-04-12","7","England","2016-04-17","3.4","Satisfactory","1400","4","Standard","NOT Modified Atmosphere","Other","9","Campylobacter spp - enumeration per Swab","<10","CFU/g Back","","1"
"LO1607835-03","2016-04-12","7","England","2016-04-17","3.4","Satisfactory","1400","4","Standard","NOT Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","5","CFU/ml Rinse","C. coli","1"
"LO1607835-03","2016-04-12","7","England","2016-04-17","3.4","Satisfactory","1400","4","Standard","NOT Modified Atmosphere","Other","9","Campylobacter spp - enumeration cfu/g","20","CFU/g Neck","C. jejuni","1"
"LO1607835-04","2016-04-12","7","England","2016-04-14","2.9","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","6","Campylobacter spp - enumeration per Swab","300","CFU/g Back","C. jejuni","1"
"LO1607835-04","2016-04-12","7","England","2016-04-14","2.9","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","110","CFU/ml Rinse","C. jejuni","1"
"LO1607835-04","2016-04-12","7","England","2016-04-14","2.9","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","6","Campylobacter spp - enumeration cfu/g","<10","CFU/g Neck","","1"
"LO1607835-05","2016-04-12","7","England","2016-04-16","4.1","Satisfactory","1398","3.5","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","<1","CFU/ml Rinse","","1"
"LO1607835-05","2016-04-12","7","England","2016-04-16","4.1","Satisfactory","1398","3.5","Standard","Modified Atmosphere","Other","2","Campylobacter spp - enumeration cfu/g","<10","CFU/g Neck","","1"
"LO1607835-05","2016-04-12","7","England","2016-04-16","4.1","Satisfactory","1398","3.5","Standard","Modified Atmosphere","Other","2","Campylobacter spp - enumeration per Swab","<10","CFU/g Back","","1"
"LO1607835-06","2016-04-12","7","England","2016-04-19","4.3","Satisfactory","1100","4","Standard","NOT Modified Atmosphere","Other","24","Campylobacter spp - enumeration per Swab","<10","CFU/g Back","","1"
"LO1607835-06","2016-04-12","7","England","2016-04-19","4.3","Satisfactory","1100","4","Standard","NOT Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","<1","CFU/ml Rinse","","1"
"LO1607835-06","2016-04-12","7","England","2016-04-19","4.3","Satisfactory","1100","4","Standard","NOT Modified Atmosphere","Other","24","Campylobacter spp - enumeration cfu/g","<10","CFU/g Neck","","1"
"PO1607812-01","2016-04-12","2.6","England","2016-04-16","1.2","Satisfactory","1100","4","Standard","Modified Atmosphere","Roast-in-bag","18","Campylobacter spp - enumeration cfu/g","<10","CFU/g Neck","","1"
"PO1607812-01","2016-04-12","2.6","England","2016-04-16","1.2","Satisfactory","1100","4","Standard","Modified Atmosphere","Roast-in-bag","18","Campylobacter spp - enumeration cfu/g","<10","CFU/g Back","","1"
"PO1607812-01","2016-04-12","2.6","England","2016-04-16","1.2","Satisfactory","1100","4","Standard","Modified Atmosphere","Roast-in-bag","","Campylobacter spp - enumeration per Swab","<1","CFU/ml Rinse","","1"
"PO1607812-02","2016-04-12","2.6","England","2016-04-19","1.2","Satisfactory","1100","4","Standard","Modified Atmosphere","Roast-in-bag","16","Campylobacter spp - enumeration per Swab","10","CFU/g Neck","C. coli","1"
"PO1607812-02","2016-04-12","2.6","England","2016-04-19","1.2","Satisfactory","1100","4","Standard","Modified Atmosphere","Roast-in-bag","16","Campylobacter spp - enumeration cfu/g","<10","CFU/g Back","","1"
"PO1607812-02","2016-04-12","2.6","England","2016-04-19","1.2","Satisfactory","1100","4","Standard","Modified Atmosphere","Roast-in-bag","","Campylobacter spp - enumeration cfu/g","1","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607812-03","2016-04-12","2.6","England","2016-04-16","2","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","13","Campylobacter spp - enumeration per Swab","<10","CFU/g Neck","","1"
"PO1607812-03","2016-04-12","2.6","England","2016-04-16","2","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","13","Campylobacter spp - enumeration per Swab","<10","CFU/g Back","","1"
"PO1607812-03","2016-04-12","2.6","England","2016-04-16","2","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","","Campylobacter spp - enumeration cfu/g","<1","CFU/ml Rinse","","1"
"PO1607812-04","2016-04-12","2.6","England","2016-04-18","2","Satisfactory","1350","3.5","Standard","Modified Atmosphere","Other","19","Campylobacter spp - enumeration per Swab","<10","CFU/g Neck","","1"
